"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"1CMET2-PWY: folate transformations III (E. coli)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.13002627979548	-0.0597419706712674	0.072553123621419	0.0164747683198782	0.496019101318963	0.0326781186485628	0.520349996941037	NA	"abundance"	65	58
"ANAEROFRUCAT-PWY: homolactic fermentation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.292168080068188	-0.0597419706712674	0.123102541559568	0.00700832585979107	0.496019101318963	0.0139675350882251	0.520349996941037	NA	"abundance"	65	59
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.15351786451976	-0.0597419706712674	0.0979700816897142	0.0394586333345882	0.496019101318963	0.0773602829245429	0.520349996941037	NA	"abundance"	65	59
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.159746404398535	-0.0597419706712674	0.103962125969306	0.0446543696056357	0.496019101318963	0.0873147264863946	0.520349996941037	NA	"abundance"	65	59
"ARO-PWY: chorismate biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.107020749156345	-0.0597419706712674	0.0860882644659967	0.0692830918300326	0.496019101318963	0.133766036846536	0.520349996941037	NA	"abundance"	65	59
"CENTFERM-PWY: pyruvate fermentation to butanoate"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.707639647702033	-0.0597419706712674	0.342794972595545	0.0320651422234571	0.496019101318963	0.0631021111011037	0.520349996941037	NA	"abundance"	65	37
"CITRULBIO-PWY: L-citrulline biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.709870552134972	-0.0597419706712674	0.419524308108271	0.128224532185041	0.496019101318963	0.240007533716009	0.520349996941037	NA	"abundance"	65	53
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.119384302215818	-0.0597419706712674	0.0823013540946402	0.0423484295108255	0.496019101318963	0.0829034695396176	0.520349996941037	NA	"abundance"	65	58
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.150293829781109	-0.0597419706712674	0.067853393778258	0.00567859566857164	0.496019101318963	0.0113249448883762	0.520349996941037	NA	"abundance"	65	58
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.0827461866894291	-0.0597419706712674	0.0810642205897981	0.0983749145577551	0.496019101318963	0.148050715257361	0.520349996941037	NA	"abundance"	65	58
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.252158579728937	-0.0597419706712674	0.101935542435066	0.00444350523401816	0.496019101318963	0.00886726572927158	0.520349996941037	NA	"abundance"	65	59
"GALLATE-DEGRADATION-I-PWY: gallate degradation II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.29606600122211	-0.0597419706712674	0.834482047241766	0.152630999194513	0.496019101318963	0.271612105020099	0.520349996941037	NA	"abundance"	65	24
"GALLATE-DEGRADATION-II-PWY: gallate degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.59464908522361	-0.0597419706712674	0.957098374633402	0.123714535255364	0.496019101318963	0.232123784277277	0.520349996941037	NA	"abundance"	65	23
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.232250779207806	-0.0597419706712674	0.113032305556039	0.0156371270983262	0.496019101318963	0.0310297344527631	0.520349996941037	NA	"abundance"	65	48
"GLUTORN-PWY: L-ornithine biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.110916386877451	-0.0597419706712674	0.10005607407054	0.103327928053801	0.496019101318963	0.19597919539171	0.520349996941037	NA	"abundance"	65	60
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.158306283228723	-0.0597419706712674	0.140237172092998	0.131281021283028	0.496019101318963	0.245327336016942	0.520349996941037	NA	"abundance"	65	59
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.196295475152578	-0.0597419706712674	0.0933917703170744	0.0107281193587735	0.496019101318963	0.0213411461725709	0.520349996941037	NA	"abundance"	65	59
"HISTSYN-PWY: L-histidine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.133861312287528	-0.0597419706712674	0.12163701305653	0.123345937489522	0.496019101318963	0.231477654683875	0.520349996941037	NA	"abundance"	65	57
"HSERMETANA-PWY: L-methionine biosynthesis III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.546624438673565	-0.0597419706712674	0.42191212817308	0.15661346998455	0.496019101318963	0.288699160988498	0.520349996941037	NA	"abundance"	65	59
"LACTOSECAT-PWY: lactose and galactose degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.60423504013584	-0.0597419706712674	0.444628193896975	0.141368834598007	0.496019101318963	0.257762162855825	0.520349996941037	NA	"abundance"	65	55
"P164-PWY: purine nucleobases degradation I (anaerobic)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.59357672327645	-0.0597419706712674	0.268290954868124	0.0543444033040348	0.496019101318963	0.105735492437598	0.520349996941037	NA	"abundance"	65	41
"P221-PWY: octane oxidation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.40007266994568	-0.0597419706712674	0.671944259087268	0.0535579369501182	0.496019101318963	0.104247421289883	0.520349996941037	NA	"abundance"	65	39
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.42942900083849	-0.0597419706712674	0.841336143765227	0.116724165305178	0.496019101318963	0.219823799844165	0.520349996941037	NA	"abundance"	65	29
"PWY-1042: glycolysis IV"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.102737802759394	-0.0597419706712674	0.0700160800095821	0.0330811028287177	0.496019101318963	0.0650678462930713	0.520349996941037	NA	"abundance"	65	59
"PWY-3801: sucrose degradation II (sucrose synthase)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.949649730207406	-0.0597419706712674	0.448981804214762	0.0315551461056804	0.496019101318963	0.06211456496561	0.520349996941037	NA	"abundance"	65	35
"PWY-3841: folate transformations II (plants)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.145464566945541	-0.0597419706712674	0.0966116439944532	0.0444067838528687	0.496019101318963	0.086841605253582	0.520349996941037	NA	"abundance"	65	58
"PWY-5088: L-glutamate degradation VIII (to propanoate)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.23037162651011	-0.0597419706712674	0.660868659467554	0.0892148481736014	0.496019101318963	0.170470407212564	0.520349996941037	NA	"abundance"	65	26
"PWY-5101: L-isoleucine biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.747822409042274	-0.0597419706712674	0.427218027405714	0.0667345197010302	0.496019101318963	0.129015543282333	0.520349996941037	NA	"abundance"	65	40
"PWY-5415: catechol degradation I (meta-cleavage pathway)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.34812901428148	-0.0597419706712674	0.739317874556059	0.090156663138017	0.496019101318963	0.172185102367852	0.520349996941037	NA	"abundance"	65	37
"PWY-5484: glycolysis II (from fructose 6-phosphate)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.262850002741155	-0.0597419706712674	0.132850721163068	0.020479338802539	0.496019101318963	0.0405392742872888	0.520349996941037	NA	"abundance"	65	59
"PWY-5505: L-glutamate and L-glutamine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.640909381370554	-0.0597419706712674	0.488028132314751	0.157306132940398	0.496019101318963	0.25776311045296	0.520349996941037	NA	"abundance"	65	55
"PWY-5870: ubiquinol-8 biosynthesis (late decarboxylation)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.05271566121973	-0.0597419706712674	0.620378588871573	0.121559955548426	0.496019101318963	0.228343088303917	0.520349996941037	NA	"abundance"	65	31
"PWY-5981: CDP-diacylglycerol biosynthesis III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.141104131888311	-0.0597419706712674	0.0972825368447642	0.0509089015042766	0.496019101318963	0.0992260867561811	0.520349996941037	NA	"abundance"	65	57
